Node,Best Parameters,Accuracy
Node_0,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.9253731343283582
Node_1,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.8360655737704918
Node_2,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.819672131147541
Node_3,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.8870967741935484
Node_4,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.890625
Node_5,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.7796610169491526
Node_6,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.8947368421052632
Node_7,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.9180327868852459
Node_8,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.8771929824561403
Node_9,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.8461538461538461
Node_10,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.9047619047619048
Node_11,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.7936507936507936
Node_12,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.8260869565217391
Node_13,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.9545454545454546
Node_14,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.9
Node_15,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.8518518518518519
Node_16,"{
  ""contamination"": 0.05,
  ""max_features"": 0.5,
  ""max_samples"": ""auto"",
  ""n_estimators"": 50
}",0.9285714285714286
