Node,Best Parameters,Accuracy,Precision,F1 Score,Anomalies Detected
Node_0,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9402985074626866,1.0,0.9692307692307692,4
Node_1,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9508196721311475,1.0,0.9747899159663865,3
Node_2,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9508196721311475,1.0,0.9747899159663865,3
Node_3,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9354838709677419,1.0,0.9666666666666667,4
Node_4,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9375,1.0,0.967741935483871,4
Node_5,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9491525423728814,1.0,0.9739130434782609,3
Node_6,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9473684210526315,1.0,0.972972972972973,3
Node_7,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9508196721311475,1.0,0.9747899159663865,3
Node_8,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9473684210526315,1.0,0.972972972972973,3
Node_9,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9384615384615385,1.0,0.9682539682539683,4
Node_10,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9365079365079365,1.0,0.9672131147540983,4
Node_11,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9365079365079365,1.0,0.9672131147540983,4
Node_12,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9420289855072463,1.0,0.9701492537313433,4
Node_13,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9393939393939394,1.0,0.96875,4
Node_14,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.95,1.0,0.9743589743589743,3
Node_15,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9444444444444444,1.0,0.9714285714285714,3
Node_16,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9464285714285714,1.0,0.9724770642201835,3
Node_17,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9508196721311475,1.0,0.9747899159663865,3
Node_18,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9393939393939394,1.0,0.96875,4
Node_19,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9508196721311475,1.0,0.9747899159663865,3
Node_20,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9491525423728814,1.0,0.9739130434782609,3
Node_21,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9491525423728814,1.0,0.9739130434782609,3
Node_22,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9473684210526315,1.0,0.972972972972973,3
Node_23,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9491525423728814,1.0,0.9739130434782609,3
Node_24,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9454545454545454,1.0,0.9719626168224299,3
Node_25,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9473684210526315,1.0,0.972972972972973,3
Node_26,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9444444444444444,1.0,0.9714285714285714,3
Node_27,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.95,1.0,0.9743589743589743,3
Node_28,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9411764705882353,1.0,0.9696969696969697,4
Node_29,"{'batch_size': 32, 'epochs': 50, 'hidden_layer_1': 64, 'hidden_layer_2': 32, 'learning_rate': 0.001}",0.9482758620689655,1.0,0.9734513274336283,3
